word,hungary_public_ed_dev_strategy_2004_en.pdf,estonia-higher-education-strategy-2006-2015.pdf,ireland_national_skills_stratgey_2025.pdf,norway_secondary_education.pdf,armenia_educational_national_plan.pdf,strategic_framework_cz20301.pdf,czech_republic_framework_education_programme_for_basic_education.pdf,bosnia-and-herzegovina_priorities_for_2016_-_2026_higher_education_development_in_bih_eu.pdf,albania-education-strategy-2004-2015.pdf,ireland_strategy_statement.pdf,croatia_education_sector_development_plan_2005-2010.pdf,moldova_r_seqa-esg-national-action-plan_rm_final_engl.pdf,czech_republic_higher_education_strategic_plan_2021.pdf,ireland_national-strategy-for-higher-education-2030-implementation-plan.pdf,georgia_consolidated_education_strategy_and_action_plan_2007-2011.pdf,moldova_education_plan2006-2008.pdf,denmark_better_education_action_plan.pdf,netherlands_quality_agreements_2019-2024.pdf,ireland_department-of-education-and-skills-strategy-statement-2016-2019.pdf,netherlands_quality_in_diversity_strategy.pdf,estonia_youth_work_strategy_2006-2013.pdf,lithuania_ed_improvement_project_2002-2005.pdf,montenegro_strategy_for_the_development_of_higher_education_2016-2020.pdf,reportsstategy-statementdepartment-of-education-and-skills-statement-of-strategy-2015-2017.pdf,moldova_consolidated_strategy_ed-dev_2011-2015.pdf,ireland_statement-of-strategy-2019-2021.pdf
_____________________________________________,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scheme,72,6,5,0,0,2,1,0,8,16,1,0,8,2,21,0,9,0,13,2,0,0,1,0,1,0
measur,45,6,48,37,4,53,36,0,4,37,17,9,145,7,14,2,10,1,15,30,53,1,17,2,4,5
packag,10,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,10,0,0,0,1,0,1,0,0,0
______________________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
detail,13,1,8,1,0,12,10,0,17,9,0,1,6,5,6,0,5,2,1,3,1,0,2,1,0,3
plan,53,13,64,4,14,82,26,16,43,88,42,71,147,33,51,23,26,38,108,91,34,7,12,29,31,51
coordin,12,1,6,6,6,40,12,6,6,24,4,5,14,6,1,0,4,0,1,10,10,1,0,0,0,2
knowledg,20,1,30,15,17,36,100,8,14,18,36,7,34,5,9,1,18,0,12,154,9,0,40,7,3,6
base,36,14,39,9,9,42,58,7,27,12,17,16,36,12,22,5,13,12,9,41,12,3,11,3,36,7
strengthen,33,2,7,3,4,46,9,3,19,11,22,11,70,0,6,3,72,0,20,24,0,6,22,4,10,5
readi,5,0,2,0,0,3,0,0,1,3,0,0,3,0,12,0,0,0,2,1,2,0,2,0,0,0
accept,9,0,1,0,0,16,8,0,4,2,2,2,4,1,2,0,2,0,0,5,1,0,4,0,1,0
institut,168,79,48,5,167,63,30,76,29,29,47,159,466,94,97,78,80,66,17,285,29,3,151,3,228,5
innov,21,10,78,0,2,70,0,13,9,10,8,13,77,20,1,0,29,1,49,94,2,1,11,6,14,15
involv,27,2,20,7,26,33,29,0,16,33,7,42,33,7,11,4,5,15,3,47,11,3,12,1,33,1
actor,11,0,0,0,0,1,1,7,2,0,0,2,13,15,0,0,0,0,0,0,0,0,0,0,1,0
social,56,7,32,1,31,129,147,6,10,57,54,5,42,2,37,20,18,3,10,62,12,5,23,14,41,14
partner,3,4,5,9,1,11,8,4,5,9,16,4,26,1,0,1,1,1,4,6,1,3,4,2,5,2
______________________________________________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
success,28,0,31,3,0,26,24,3,8,17,7,4,48,1,5,1,0,5,24,54,4,0,8,1,1,5
_________________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intern,43,11,69,2,30,86,35,22,25,33,26,33,118,8,34,32,34,2,33,67,12,3,49,9,42,14
cooper,32,12,5,24,3,55,41,15,5,24,23,3,75,4,9,2,33,0,1,5,15,2,33,0,0,7
___________________________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regulatori,27,0,2,0,0,4,0,2,0,4,0,9,2,0,2,0,0,1,0,2,0,0,0,0,13,0
tool,40,0,12,2,1,28,69,0,3,0,1,7,43,0,6,4,7,0,0,3,0,0,1,0,4,0
assign,4,0,1,1,1,0,15,2,2,0,0,0,7,1,1,2,1,0,3,1,4,0,0,0,3,0
various,37,3,7,4,7,37,106,2,18,6,5,10,19,1,14,1,6,0,2,17,1,0,1,0,0,2
_______________________________________________________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
legisl,15,3,1,0,12,17,4,23,15,22,4,4,16,17,17,2,2,0,6,18,0,0,6,2,9,1
_________________________________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fulfil,16,0,0,1,0,51,7,2,3,5,1,1,29,0,1,3,1,2,6,7,3,1,4,1,2,2
___________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
________________________________________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reduc,13,1,13,1,0,61,3,2,9,2,3,0,35,3,9,1,6,1,13,12,0,2,2,1,14,0
________________________________,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
restor,3,0,1,0,5,21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
status,4,1,2,1,2,6,1,0,2,1,4,9,8,0,4,2,0,0,0,4,2,1,11,1,17,0
profession,40,22,52,11,94,12,21,10,20,8,71,27,74,2,45,24,26,4,18,260,3,6,18,6,105,2
teacher,100,3,56,42,30,4,51,0,140,63,85,13,8,0,158,35,17,14,41,80,0,21,37,10,74,10
_______________________________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relat,53,1,37,2,13,49,100,8,14,63,10,7,30,6,5,4,37,6,3,29,0,1,14,5,23,4
this,31,3,83,10,0,40,27,2,44,43,28,1,34,9,28,1,27,17,17,166,2,4,17,4,3,6
multipurpos,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exercis,4,0,1,0,0,1,92,0,0,0,0,5,1,4,2,0,0,0,0,0,0,0,1,0,0,0
major,11,1,16,0,1,18,22,0,12,9,4,0,4,8,19,1,6,0,3,5,2,0,4,0,3,0
goal,9,8,0,4,0,30,11,7,9,23,14,2,16,3,22,0,1,1,85,39,16,4,12,16,8,32
includ,34,10,95,9,9,80,91,12,17,52,25,23,92,13,35,7,27,7,35,34,15,3,19,19,26,18
follow,41,7,16,9,8,16,22,0,7,4,15,25,23,13,24,0,12,5,8,38,8,6,18,3,16,5
descript,3,1,0,6,4,1,19,0,8,0,0,0,0,0,1,0,4,1,1,0,6,0,2,0,0,0
set,26,8,56,1,6,23,35,6,12,32,2,17,49,6,11,0,16,8,18,21,7,1,4,6,42,18
forth,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
programm,147,48,136,4,0,19,119,36,0,108,0,0,182,14,0,0,337,5,54,475,0,0,91,30,40,12
discuss,2,0,2,4,1,23,10,0,7,2,1,2,47,2,4,0,0,5,0,11,1,0,1,0,1,0
consult,6,1,15,1,0,5,1,8,5,21,1,7,11,4,1,5,0,2,7,10,1,0,2,4,3,3
